bat,subb,test,id,num_pvals,unique,ratio,min,max,KS,log_KS,chi2_1.0,chi2_2.0,chi2_3.0,chi2_4.0,log_chi2_1.0,log_chi2_2.0,log_chi2_3.0,log_chi2_4.0,L_9,L_8,L_7,L_6,L_5,L_4,L_3,L_2,L_1,num_pvals2,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,l_9,l_8,l_7,l_6,l_5,l_4,l_3,l_2,l_1,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,log_l_9,log_l_8,log_l_7,log_l_6,log_l_5,log_l_4,log_l_3,log_l_2,log_l_1,log_r_1,log_r_2,log_r_3,log_r_4,log_r_5,log_r_6,log_r_7,log_r_8,log_r_9
TestU01,Block_Alphabit, swalk_RandomWalk1,008|016|005,434070,433140,1,2.59e-06,0.99999907,0.20044587033707997,-0.7,0.3479658585121323,0.9567176029024594,0.38528998232969863,0.8778719026807487,-0.5,-0.0,-0.4,-0.1,0,0,0,0,10,53,442,4269,43680,434070,43350,4322,421,48,4,1,0,0,0,0.0,0.0,0.0,0.0,2.3,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.1,0.9,2.3,0.0,0.0,0.0,-1000,-1000,-1000,-1000,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.4,-1000,-1000,-1000
TestU01,Block_Alphabit, swalk_RandomWalk1,008|002|001,518427,517063,1,3.08e-06,0.9999976,0.17223411557210913,-0.8,0.0720678280466583,0.414313283770319,0.44718634007240715,0.7245046216262421,-1.1,-0.4,-0.3,-0.1,0,0,0,0,9,54,533,5222,52367,518427,51896,5307,501,46,7,0,0,0,0,0.0,0.0,0.0,0.0,1.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.4,0.0,0.0,0.0,0.0,-1000,-1000,-1000,-1000,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.1,-1000,-1000,-1000,-1000
TestU01,Block_Alphabit, swalk_RandomWalk1,008|002|002,518427,516989,1,5.8e-07,0.99999784,0.5274378550196279,-0.3,0.20974486111372895,0.35310571200938995,0.9730814574658462,0.7774963674429703,-0.7,-0.5,-0.0,-0.1,0,0,0,2,6,70,556,5265,52155,518427,52129,5251,489,51,4,0,0,0,0,0.0,0.0,0.0,3.9,1.2,1.4,1.1,1.0,1.0,1.0,1.0,0.9,1.0,0.8,0.0,0.0,0.0,0.0,-1000,-1000,-1000,0.6,0.1,0.1,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.1,-1000,-1000,-1000,-1000
TestU01,Block_Alphabit, swalk_RandomWalk1,008|002|003,518427,517113,1,7.8e-07,0.99999569,0.6102021646096466,-0.2,0.8104033787169163,0.9099097559538737,0.4652368822485545,0.2887235217633372,-0.1,-0.0,-0.3,-0.5,0,0,0,1,8,61,480,5082,52040,518427,51777,5051,507,53,6,0,0,0,0,0.0,0.0,0.0,1.9,1.5,1.2,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.2,0.0,0.0,0.0,0.0,-1000,-1000,-1000,0.3,0.2,0.1,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-1000,-1000,-1000,-1000
TestU01,Block_Alphabit, swalk_RandomWalk1,008|002|004,518427,517110,1,1.32e-06,0.9999958,0.5986200459403658,-0.2,0.8245540832165789,0.3204280423106107,0.2665313519482812,0.5368065305470024,-0.1,-0.5,-0.6,-0.3,0,0,0,0,5,47,545,5347,51899,518427,52038,5087,520,68,3,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.9,1.1,1.0,1.0,1.0,1.0,1.0,1.3,0.6,0.0,0.0,0.0,0.0,-1000,-1000,-1000,-1000,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.2,-1000,-1000,-1000,-1000
TestU01,Block_Alphabit, swalk_RandomWalk1,008|002|005,518427,517050,1,2.43e-06,0.99999827,0.7418762822644139,-0.1,0.2299207797065619,0.6360859622193337,0.05006225480203103,0.7923531840187047,-0.6,-0.2,-1.3,-0.1,0,0,0,0,1,57,515,5163,51793,518427,51850,5128,553,59,4,0,0,0,0,0.0,0.0,0.0,0.0,0.2,1.1,1.0,1.0,1.0,1.0,1.0,1.1,1.1,0.8,0.0,0.0,0.0,0.0,-1000,-1000,-1000,-1000,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-1000,-1000,-1000,-1000
TestU01,Block_Alphabit, swalk_RandomWalk1,008|032|001,425880,424965,1,2.67e-06,0.99999856,0.33471675901523473,-0.5,0.47624819047938294,0.8371987804334748,0.8204705172358995,0.7146955323891679,-0.3,-0.1,-0.1,-0.1,0,0,0,0,6,50,443,4296,42411,425880,42557,4225,406,36,3,0,0,0,0,0.0,0.0,0.0,0.0,1.4,1.2,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.0,0.0,0.0,0.0,-1000,-1000,-1000,-1000,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.2,-1000,-1000,-1000,-1000
TestU01,Block_Alphabit, swalk_RandomWalk1,008|032|002,425880,424959,1,6.6e-07,0.99999615,0.8033945138741134,-0.1,0.622820421133226,0.07780532089634462,0.0227517888265643,0.309394626882462,-0.2,-1.1,-1.6,-0.5,0,0,0,1,5,41,443,4337,42435,425880,42591,4266,407,44,5,0,0,0,0,0.0,0.0,0.0,2.3,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,0.0,0.0,0.0,0.0,-1000,-1000,-1000,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-1000,-1000,-1000,-1000
TestU01,Block_Alphabit, swalk_RandomWalk1,008|032|003,425880,424976,1,5e-07,0.99999823,0.9389803850492208,-0.0,0.593956766646764,0.6265355998936601,0.29594179593187125,0.42320855631107224,-0.2,-0.2,-0.5,-0.4,0,0,0,2,4,49,445,4287,42492,425880,42869,4419,453,50,3,0,0,0,0,0.0,0.0,0.0,4.7,0.9,1.2,1.0,1.0,1.0,1.0,1.0,1.1,1.2,0.7,0.0,0.0,0.0,0.0,-1000,-1000,-1000,0.7,-0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.2,-1000,-1000,-1000,-1000
TestU01,Block_Alphabit, swalk_RandomWalk1,008|032|004,425880,425001,1,4.43e-06,0.99999529,0.44414371784672474,-0.4,0.851242142816419,0.2222222151147945,0.42757236784045205,0.10418204896414149,-0.1,-0.7,-0.4,-1.0,0,0,0,0,8,56,452,4276,42787,425880,42571,4232,435,34,2,0,0,0,0,0.0,0.0,0.0,0.0,1.9,1.3,1.1,1.0,1.0,1.0,1.0,1.0,0.8,0.5,0.0,0.0,0.0,0.0,-1000,-1000,-1000,-1000,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.3,-1000,-1000,-1000,-1000
